Company Name,Website Link,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size
Philip Watson & Mandy Watson,lighthousefa.co.uk,I - IFA,No,1-10,
MGL Wealth Management Ltd,mglwealthmanagement.co.uk,I - IFA,No,,
Tallow Financial Planning Limited,tallowfp.com,I - IFA,No,,
Michael Kyle Wealth Management Ltd,michaelkylewm.co.uk,I - IFA,No,,
Jads Financial Services,,,,,
Select Financial Solutions North East LLP,sfsne.co.uk,I - IFA,No,,
Andrea Irving-Morse Associates Limited,aima.org.uk,I - IFA,No,,
North Trail Financial PLanning LTD,mandgwealth.com/northtrailfinancialplanning,I - IFA,No,"5,001-10,000",2710
SGW Wealth Management Ltd,,,,,
Hauxwell Wealth Management Limited,hauxwellwealthmanagement.co.uk,I - IFA,No,,
AJC Financial Limited,partnership.sjp.co.ukpartnerandrewcoward,Invalid domain,No,,
David Marshall,partnership.sjp.co.uk/partner/davidmarshallwm,I - IFA,No,"1,001-5,000",3514
Hodge Wealth Management Ltd,hodgewealthmanagement.co.uk,I - IFA,No,1-10,1
Fangdale Financial Ltd,,,,,
Greenhill Wealth Management Limited,greenhillwealth.co.uk,I - IFA,No,,
Harrison Brown Financial Services Ltd,harrisonbrown.co.uk,I - IFA,No,,
Eldon Financial Planning Ltd,eldonfinancial.co.uk,I - IFA,No,1-10,9
Your Finances Limited,yourfinancesltd.com,I - IFA,No,,
Hogarth Wealth Management Limited,hogarthwealthmanagement.co.uk,I - IFA,No,,
Novus Wealth Management Limited,novuswealth.co.uk,I - IFA,No,1-10,8
