Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Moore and Smalley LLP,I - IFA,No,11-50,14,mooreandsmalleyllp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Fox Lifestyle Financial Planning Ltd,I - IFA,No,,,foxlifefp.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Travis Yates Limited,-,Yes,2-10,2,travisyates.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Roebridge Financial Management Limited,-,Yes,,,roebridge.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,John Turner,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Polygon Financial Ltd,-,Yes,,,polygonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Red Star Wealth Management Limited,-,Yes,2-10,2,redstarwealth.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,ProPlan Financial Advice Limited,-,Yes,,,proplanfa.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Castle Financial LLP,-,Yes,2-10,9,castlefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Trafford & Houghton Financial Planning Ltd,I - IFA,No,,,traffordandhoughton.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,MPI Investments Limited,I - IFA,No,,,mpi-investments.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Logical Financial Advice Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Chancery Law (Southport) Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Good Green Money Limited,-,Yes,1,,goodgreenmoney.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Storrs Wealth Planning Limited,I - IFA,No,1-10,1,storrswealthplanning.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Nick Hanson Associates Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,DCN Wealth Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Windmill Financial Services Ltd,I - IFA,No,,,windmillfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Kathryn Whyatt,-,Yes,,,ribblevalleyfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Waddington Financial Planning Ltd,-,Yes,,,ashleywaddington.fp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Lakenwest Ltd,I - IFA,No,,,atmorchardinvestments.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Simon McCallion,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/mccallionwm
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Studio 61 Wealth Management Limited,-,Yes,,,studio61wealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=9&pl_m=40,Longton FS LLP,I - IFA,No,1-10,4,longtonfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Bailey Financial Services (Preston) Ltd,I - IFA,No,,,bailey-fs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Danbro Financial Planning Ltd,I - IFA,No,,,danbro.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Clearwater Independent Financial Planning Limited,I - IFA,No,,,clearwaterfp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Profit with Principle Limited,I - IFA,No,,,profitwithprinciple.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Mortgage Options (UK) Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,G. Sturgess Financial Planning Limited,I - IFA,No,,,countrywideifa.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Virtu Financial Planning Ltd,-,Yes,2-10,9,virtuplanning.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Lytham Financial Planning Ltd,I - IFA,No,,,lythamfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,APW Financial Planning Limited,-,Yes,2-10,1,apwfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Stones Financial Limited,-,Yes,,,stonesfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Arena Investment Management Ltd,I - IFA,No,,,ainv.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=10&pl_m=40,Phillip Harrison,I - IFA,No,,,hfp-ifa.co.uk/
