Source,Company Name,Website Link,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Ryley Wealth  Management Ltd,ryleywm.co.uk,I - IFA,No,11-50,30
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Minshall Financial Services Ltd,minshallfinancialservices.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Ten Wealth Management Limited,tenwealth.co.uk,I - IFA,No,2-10,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Campbell Cain Wealth Management Ltd,campbellcainwm.co.uk,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Fraser Backhouse LLP,fraserbackhouse.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Liam Cotterill,partnership.sjp.co.uk/partner/liamcotterill,I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,RWB Wealth Management Limited,rwbwealth.com,I - IFA,No,2-10,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Paul Silcock,paulsilcockwealthmanagement.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Lee C Dowdall Wealth Management Ltd,leedowdall.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Sparham Wealth Management,phillipsparham.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Reanu Vasdev,krfinancialplanning.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Ward Wealth Management Ltd,wardwealthmanagement.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Tom Mangan,manganfp.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Cedar Financial Planning Ltd,cedarfp.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Newbridge Limited,dmcfp.co.uk,I - IFA,No,2-10,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Simon Farebrother,farebrotherassociates.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Adrian Wright,buttercrossfp.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Liz Robinson Wealth Management Limited,sjpp.co.uk/lizrobinson,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Daniel Parkes,parkesassociates.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Raj Mulji,srmfs.co.uk/partner,I - IFA,No,2-10,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Cockburn Lucas Independent Financial Consulting Limited,cockburnlucas.co.uk,I - IFA,No,11-50,13
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Henson Aslam Financial Management LLP,hensonaslam.co.uk,I - IFA,No,2-10,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=3&pl_m=40,Balance: Wealth Planning Limited,balancewealth.uk,I - IFA,No,11-50,20
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,C. Alexander Financial Planning Ltd,calexander.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Temple 90 Limited,temple90.co.uk,I - IFA,No,2-10,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,OCS Financial Planning Ltd,ocsfinancialplanning.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,David Burnell Financial Services Ltd,davidburnell.co.uk,I - IFA,No,11-50,6
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Castlegate Capital Limited,castlegatecapital.co.uk,I - IFA,No,,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Paul Jones,integral-ifa.co.uk,I - IFA,No,1,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,HQN Financial Management Limited,hqnfm.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,TJM Financial Solutions Ltd,mooremortgagesolutions.co.uk,I - IFA,No,,{:numEmployees}
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Veracity Financial Planning Ltd,veracityfp.co.uk,I - IFA,No,2-10,8
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,James Trueman,partnership.sjp.co.uk/partner/truemanwm,I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,IFA. 1 Ltd,ifa1ltd.co.uk,I - IFA,No,2-10,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Peter Simons,petersimonsfinancialservices.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Roger Graham Sheppard,sheppardfs.co.uk,I - IFA,No,,
